"gvkey","datadate","be1","op1","op2","at","at_lag1","in"
1632,"2020-10-31 00:00:00.000",13917.54,2228.297,0.160107102260888,21468.603,21392.641,1.00355084722826
1650,"2020-12-31 00:00:00.000",NA,-0.771,NA,1.21,1.289,0.938712179984484
1659,"2020-12-31 00:00:00.000",1132.038,153.374999999999,0.135485734577814,4272.121,3900.741,1.09520755159084
1661,"2020-12-31 00:00:00.000",909.46,352.669,0.387778461944451,5503.428,6760.658,0.814037331869176
1678,"2020-12-31 00:00:00.000",NA,-2979,NA,12746,18107,0.703926658198487
1686,"2020-02-29 00:00:00.000",516.778,114.731,0.22201215996037,1128.991,NA,NA
1689,"2020-12-31 00:00:00.000",6094.5,789.6,0.129559438838297,13315.2,12768.3,1.04283264021052
1690,"2020-09-30 00:00:00.000",68139,73115,1.07302719441142,323888,338516,0.9567878623167
1704,"2020-10-31 00:00:00.000",10587,4644,0.43865117597053,22353,19024,1.17498948696384
1706,"2020-08-31 00:00:00.000",360.934,31.769,0.0880188621742479,824.294,1124.274,0.733178922575813
1712,"2020-12-31 00:00:00.000",230.635,17.153,0.074372926919158,316.833,301.819,1.04974504587186
1718,"2020-06-30 00:00:00.000",0.306,-0.095,-0.310457516339869,0.654,0.66,0.990909090909091
1722,"2020-12-31 00:00:00.000",21302,2306,0.108252746221012,49719,43997,1.13005432188558
1742,"2020-12-31 00:00:00.000",8560.94,1182.852,0.138168472153759,19924.251,18370.723,1.08456542510602
1743,"2020-12-31 00:00:00.000",901,201.663,0.223821309655938,1779.008,1651.207,1.07739853331533
1745,"2020-12-31 00:00:00.000",4592.792,669.072,0.145678706982594,12100.131,11205.633,1.0798257447839
1773,"2020-12-31 00:00:00.000",5413.473,942.506000000001,0.174103759268773,17053.911,16400.796,1.03982215253455
1783,"2020-11-30 00:00:00.000",9.907,-3.18,-0.320985162006662,18.803,19.347,0.971881945521269
1790,"2020-12-31 00:00:00.000",NA,-1.684,NA,28.729,30.701,0.935767564574444
1794,"2020-09-30 00:00:00.000",3265,402,0.12312404287902,6877,7251,0.94842090746104
1820,"2020-01-31 00:00:00.000",71.81,7.891,0.109887202339507,116.664,118.983,0.980509820730693
1823,"2020-12-31 00:00:00.000",273.28,9.97399999999999,0.0364973653395784,619.745,782.716,0.791787825980305
1828,"2020-12-31 00:00:00.000",5495,1354,0.246405823475887,22200,21703,1.02290005989955
1837,"2020-12-31 00:00:00.000",11032,1081,0.0979876722262509,22630,21687,1.04348227048462
1864,"2020-01-31 00:00:00.000",405.341,16.234,0.0400502293130969,500.502,471.393,1.06175102303174
1878,"2020-01-31 00:00:00.000",NA,491.5,NA,6179.3,4729.2,1.3066269136429
1891,"2020-06-30 00:00:00.000",6484.1,3666.1,0.565398436174643,39165.5,41887.7,0.935011948614987
1913,"2020-12-31 00:00:00.000",1535.8,992,0.645917437166297,6083.9,5488.8,1.10842078414225
1919,"2020-06-30 00:00:00.000",3726.398,280.830999999998,0.0753625887519255,8105.197,8564.556,0.94636511221364
1926,"2020-02-29 00:00:00.000",672.292,143.863,0.213988861982591,1073.831,NA,NA
1932,"2020-12-31 00:00:00.000",106063.743,12808.969,0.120766707243209,184890.132,186747.022,0.990056655361283
1949,"2020-12-31 00:00:00.000",177.772,-19.484,-0.109601062034516,365.741,390.61,0.936332915183943
1968,"2020-12-31 00:00:00.000",366.955,88.279,0.240571732228747,468.38,421.893,1.11018670610795
1979,"2020-12-31 00:00:00.000",879.592,158.683,0.180405233335456,1165.843,1155.682,1.00879221100614
1982,"2020-12-31 00:00:00.000",363.082,16.574,0.0456480905139885,1722.827,1634.36,1.05412944516508
1988,"2020-12-31 00:00:00.000",3909,1658,0.424149398823228,18252,17360,1.05138248847926
2002,"2020-12-31 00:00:00.000",6006.544,1303.907,0.217081070246052,65926,52115.324,1.26500220933098
2005,"2020-12-31 00:00:00.000",1374.507,280.621,0.204161201070638,20603.651,18095.496,1.13860659028081
2019,"2020-12-31 00:00:00.000",41260,8925,0.216311197285507,469633,381508,1.23099122429936
2049,"2020-12-31 00:00:00.000",1474.345,215.358,0.146070288840129,2676.226,2738.335,0.977318699136519
2052,"2020-09-30 00:00:00.000",NA,-3.672,NA,15.182,18.302,0.829526827669107
2055,"2020-12-31 00:00:00.000",26375,6737,0.255431279620853,46506,44392,1.04762119300775
2080,"2020-11-30 00:00:00.000",158.03,0.228000000000015,0.00144276403214589,402.549,275.766,1.459748482409
2086,"2020-12-31 00:00:00.000",8832,2517,0.284986413043478,20019,18193,1.10036827351179
2101,"2020-06-30 00:00:00.000",886.438,254.466,0.287065762072474,2283.551,2331.697,0.979351519515614
2111,"2020-09-30 00:00:00.000",22820,3883,0.170157756354075,54012,51765,1.04340770791075
2124,"2020-12-31 00:00:00.000",186.829,24.403,0.130616767204235,453.866,468.917,0.967902635221159
2136,"2020-12-31 00:00:00.000",103553,40815,0.394145992873215,316481,291727,1.0848533046307
2137,"2020-12-31 00:00:00.000",20766,8448,0.406818838485987,60665,60146,1.00862900275995
2176,"2020-12-31 00:00:00.000",516425,76529,0.148189959819916,873729,817729,1.06848234561817
2184,"2020-01-31 00:00:00.000",3508,2801,0.798460661345496,15591,12901,1.208510968142
2220,"2020-12-31 00:00:00.000",11956.725,515.578,0.0431203360451963,12972.618,8008.859,1.61978354219996
2240,"2020-07-31 00:00:00.000",NA,-0.165,NA,0.206,0.361,0.570637119113573
2259,"2020-12-31 00:00:00.000",2970.009,507.829,0.17098567714778,8088.786,7558.457,1.07016365906428
2269,"2020-04-30 00:00:00.000",93.056,256.525,2.75667340096286,5112.047,3299.945,1.54913097036466
2270,"2020-12-31 00:00:00.000",4388.3,-473.2,-0.107832190141968,12873.2,16931.2,0.760324135324135
2277,"2020-10-31 00:00:00.000",14.965,-1.543,-0.103107250250585,17.875,18.588,0.961641919517969
2285,"2020-12-31 00:00:00.000",NA,-9852,NA,152136,133625,1.13852946679139
2312,"2020-12-31 00:00:00.000",1205.918,408.851,0.339037148462831,2557.424,2311.408,1.10643555789372
2316,"2020-12-31 00:00:00.000",984,112,0.113821138211382,4002,4146,0.965267727930536
2337,"2020-12-31 00:00:00.000",1081,276,0.25531914893617,3730,3626,1.02868174296746
2342,"2020-06-30 00:00:00.000",23.843,1.302,0.0546072222455228,28.613,28.389,1.00789038007679
2352,"2020-07-31 00:00:00.000",881.358,173.115,0.196418481479716,1142.466,1157.308,0.987175410521659
2369,"2020-12-31 00:00:00.000",47606,8899,0.186930218879973,343696,323969,1.06089162852001
2390,"2020-10-31 00:00:00.000",73.584,10.586,0.143862796260057,155.283,123.456,1.25780034992224
2393,"2019-06-30 00:00:00.000",446.72,31.3999999999999,0.0702901146131803,1551.431,1443.966,1.07442349750617
2403,"2020-12-31 00:00:00.000",43229,15240,0.352541118230817,118481,129944,0.911785076648402
2408,"2020-12-31 00:00:00.000",15850,4880,0.30788643533123,43332,37975,1.14106649111257
2410,"2020-12-31 00:00:00.000",78060,2148,0.0275172943889316,267654,295194,0.906705420841887
2411,"2019-03-31 00:00:00.000",15072.82,8664.202,0.57482289312816,60279.56,59978.049,1.0050270224695
2435,"2020-04-30 00:00:00.000",2152,1094,0.508364312267658,5766,5139,1.12200817279626
2436,"2020-01-31 00:00:00.000",700.963,164.648,0.234888289396159,2431.707,1838.568,1.32260922631091
2444,"2020-12-31 00:00:00.000",1515.3,624.3,0.411997624232825,3770.6,3564.4,1.05784984850185
2448,"2020-12-31 00:00:00.000",671.494,71.8979999999999,0.107071693864725,1057.86,852.67,1.24064409443278
2490,"2020-12-31 00:00:00.000",58630,9153,0.156114617090227,88660,88574,1.00097093955337
2497,"2020-12-31 00:00:00.000",2304.86,671.275,0.29124328592626,5227.849,4997.006,1.04619626232188
2504,"2020-12-31 00:00:00.000",NA,210.6,NA,2707.9,2504,1.08142971246006
2519,"2020-04-30 00:00:00.000",33.576,9.05399999999999,0.269656897784131,94.918,48.902,1.94098400883399
2526,"2020-03-31 00:00:00.000",2640.3,660.1,0.25000946862099,8483.6,7165.5,1.18395087572396
2536,"2020-03-31 00:00:00.000",1087.716,-140.02,-0.128728454854024,1301.889,1472.911,0.883888435893275
2547,"2020-12-31 00:00:00.000",59260,9852,0.166250421869727,155451,155774,0.997926483238538
2556,"2019-03-31 00:00:00.000",190.55,11.714,0.0614746785620572,285.595,365.188,0.782049245867882
2558,"2020-12-31 00:00:00.000",12707,760,0.05980955378925,64026,60612,1.05632548010295
2573,"2020-09-30 00:00:00.000",29.534,-1.2,-0.0406311369946503,53.645,59.369,0.903586046589971
2574,"2020-12-31 00:00:00.000",20269,4891,0.241304455079185,39793,38257,1.04014951512142
2577,"2020-12-31 00:00:00.000",430.692,71.3729999999999,0.165717032125045,626.049,643.354,0.97310190035346
2578,"2020-12-31 00:00:00.000",127.756,4.121,0.0322568020288675,183.817,77.692,2.36597075631983
2581,"2020-12-31 00:00:00.000",24.126,-3.28,-0.135952913868855,40.936,46.723,0.876142370995013
2593,"2020-09-30 00:00:00.000",749,323,0.431241655540721,2781,3004,0.925765645805593
2596,"2020-06-30 00:00:00.000",2874.271,513.337,0.178597286059665,5542.472,5086.843,1.08957009288472
2615,"2020-02-29 00:00:00.000",138.041,3.65700000000001,0.0264921291500352,495.805,NA,NA
2620,"2020-12-31 00:00:00.000",17189,1966,0.11437547268602,167846,170810,0.982647385984427
2628,"2020-12-31 00:00:00.000",1197.376,201.559,0.168333923512748,3394.248,3111.308,1.09093924484493
2663,"2020-07-31 00:00:00.000",3477,1398,0.40207075064711,12372,13148,0.940979616671737
