"gvkey","datadate","be1","op1","op2","at","at_lag1","in"
1004,"2019-05-31 00:00:00.000",905.9,144,0.158957942377746,1517.2,1524.7,0.995080999540893
1019,"2019-12-31 00:00:00.000",12.165,5.109,0.419975339087546,33.355,34.031,0.980135758573066
1045,"2019-12-31 00:00:00.000",NA,4929,NA,59995,60580,0.990343347639485
1050,"2019-12-31 00:00:00.000",198.96,25.234,0.126829513470044,408.637,392.582,1.04089591473883
1062,"2019-11-30 00:00:00.000",285.879,-1.173,-0.004103134542936,286.612,196.072,1.46176914602799
1072,"2019-03-31 00:00:00.000",2398.415,404.11,0.168490440561788,2813.278,2672.766,1.0525717552528
1075,"2019-12-31 00:00:00.000",7619.455,1027.638,0.134870276154922,18479.247,17664.202,1.04614105975464
1076,"2019-12-31 00:00:00.000",2047.654,2374.383,1.15956260188489,3297.8,2826.692,1.1666640723503
1078,"2019-12-31 00:00:00.000",32634,7385,0.226297726297726,67887,67173,1.01062927068912
1084,"2019-12-31 00:00:00.000",NA,-1.237,NA,1.774,3.846,0.461258450338013
1094,"2018-06-30 00:00:00.000",96.821,-5.23,-0.0540172070108757,767.024,1038.185,0.738812446721923
1096,"2019-12-31 00:00:00.000",4282.692,274.399,0.064071616637386,11703.084,11082.758,1.05597216866054
1097,"2019-12-31 00:00:00.000",31.629,2.031,0.0642132220430617,58.515,60.875,0.961232032854209
1104,"2019-12-31 00:00:00.000",55.754,10.034,0.179969150195502,110.749,109.477,1.01161887885127
1117,"2019-12-31 00:00:00.000",23.276,-3.166,-0.136019934696683,37.94,39.191,0.968079405986068
1121,"2019-12-31 00:00:00.000",157.963,23.8050000000001,0.150699847432627,330.842,278.87,1.18636640728655
1161,"2019-12-31 00:00:00.000",2838,631,0.222339675828048,6028,4556,1.32309043020193
1166,"2019-12-31 00:00:00.000",2063.455,327.004,0.158474015667897,2440.903,2115.739,1.15368814395348
1186,"2019-12-31 00:00:00.000",6059.656,1263.827,0.208564149516078,8789.885,7852.843,1.11932519216289
1209,"2019-09-30 00:00:00.000",11847.4,3052.8,0.257676789844185,18942.8,19178.3,0.987720496602931
1210,"2019-03-31 00:00:00.000",24.358,12.433,0.510427785532474,115.142,97.147,1.18523474734166
1224,"2019-09-30 00:00:00.000",830,130,0.156626506024096,1743.6,1616.2,1.07882687786165
1225,"2019-12-31 00:00:00.000",12315,2050,0.166463662200568,29152,26730,1.09060980172091
1230,"2019-12-31 00:00:00.000",5046,1452,0.287752675386445,12993,10912,1.19070747800587
1234,"2019-12-31 00:00:00.000",246.366,51.382,0.208559622675207,262.031,231.216,1.13327364888243
1254,"2019-12-31 00:00:00.000",1143.3,167.6,0.146593195136884,2845.4,2430.4,1.17075378538512
1257,"2019-12-31 00:00:00.000",253.515,60.588,0.238991775634578,1265.511,1481.257,0.854349380289848
1262,"2019-12-31 00:00:00.000",708.901,108.448,0.15298045848433,1147.377,1111.893,1.03191314272147
1266,"2019-09-30 00:00:00.000",226.428,35.553,0.157016800042398,417.388,423.422,0.985749441455569
1272,"2019-06-30 00:00:00.000",NA,-0.014,NA,0,0,NA
1274,"2019-12-31 00:00:00.000",8776.734,1228.149,0.139932348411152,26931.604,25344.896,1.06260463645225
1300,"2019-12-31 00:00:00.000",20164,8128,0.403094624082523,58679,57773,1.015682066017
1327,"2019-09-30 00:00:00.000",4135.4,1413.7,0.34185326691493,4839.6,4828.9,1.00221582555033
1380,"2019-12-31 00:00:00.000",9147,2358,0.25778943916038,21782,21433,1.01628330145103
1388,"2019-12-31 00:00:00.000",13422,4847,0.361123528535241,71890,70878,1.01427805524987
1393,"2019-03-31 00:00:00.000",4443.359,1019.808,0.229512852776469,11891.713,10746.985,1.10651619965972
1397,"2019-12-31 00:00:00.000",37.761,-1.248,-0.0330499721935329,132.568,127.595,1.03897488146087
1410,"2019-10-31 00:00:00.000",1589.7,282.200000000001,0.17751777064855,3692.6,3627.5,1.01794624396968
1414,"2019-12-31 00:00:00.000",1841.488,495.411,0.269027547287845,13688.531,12595.048,1.08681848612248
1439,"2019-12-31 00:00:00.000",1139.725,116.157,0.101916690429709,2231.244,947.898,2.35388617762671
1440,"2019-12-31 00:00:00.000",27441.9,3945.6,0.143780131842183,75892.3,68802.8,1.10304086461597
1447,"2019-12-31 00:00:00.000",21471,9742,0.453728284663034,198321,188602,1.05153179711774
1448,"2019-12-31 00:00:00.000",2587,431,0.166602241979126,37357,40042,0.932945407322312
1449,"2019-12-31 00:00:00.000",34373,4547,0.1322840601635,152768,140406,1.08804467045568
1487,"2019-12-31 00:00:00.000",65380,10206,0.15610278372591,525064,491984,1.06723795895801
1526,"2019-12-31 00:00:00.000",6384.277,747.537,0.117090314220389,28597.566,26912.353,1.06261856776329
1545,"2019-12-31 00:00:00.000",233.359,-12.734,-0.0545682832031333,830.641,826.149,1.00543727584249
1559,"2019-12-31 00:00:00.000",28.547,8.773,0.307317756681963,53.783,57.502,0.935323988730827
1562,"2019-04-30 00:00:00.000",118.121,12.997,0.110031239153072,161.31,162.965,0.989844445126254
1585,"2019-12-31 00:00:00.000",363.301,32.538,0.0895620986454757,670.098,593.587,1.12889601692759
1598,"2019-12-31 00:00:00.000",5651.632,1322.941,0.234081235296282,9844.559,8662.288,1.13648484095657
1602,"2019-12-31 00:00:00.000",10279,10467,1.01828971689853,59707,66416,0.898985184292941
1613,"2019-12-31 00:00:00.000",49.443,16.478,0.333272657403475,506.56,571.119,0.886960510856757
1618,"2019-04-30 00:00:00.000",89.846,-2.682,-0.0298510785121208,100.53,105.865,0.949605629811552
1632,"2019-10-31 00:00:00.000",13797.4,2388.443,0.173108194297476,21392.641,20449.779,1.04610621953421
1650,"2019-12-31 00:00:00.000",NA,-0.47,NA,1.289,1.519,0.848584595128374
1659,"2019-12-31 00:00:00.000",1119.765,174.662,0.155980942429885,3900.741,2392.003,1.63074251997176
1661,"2019-12-31 00:00:00.000",1705.31,593.925,0.348279784907143,6760.658,7853.944,0.86079783609356
1678,"2019-12-31 00:00:00.000",3601,491,0.136351013607331,18107,21582,0.838986192197201
1686,"2019-02-28 00:00:00.000",496.317,98.076,0.197607577415241,1068.168,1022.32,1.04484701463338
1689,"2019-12-31 00:00:00.000",5853.7,742.7,0.126877017954456,12768.3,12290.5,1.0388755542899
1690,"2019-09-30 00:00:00.000",96688,71654,0.741084726129406,338516,365725,0.9256025702372
1704,"2019-10-31 00:00:00.000",8225,3498,0.425288753799392,19024,17773,1.07038766668542
1706,"2019-08-31 00:00:00.000",302.743,67.958,0.224474224011786,1124.274,1481.338,0.758958455126379
1712,"2019-12-31 00:00:00.000",182.529,24.351,0.133408937757836,301.819,329.968,0.914691727682684
1718,"2019-06-30 00:00:00.000",0.301,0.015,0.0498338870431894,0.66,0.688,0.959302325581395
1722,"2019-12-31 00:00:00.000",20402,2200,0.107832565434761,43997,40833,1.07748634682732
1742,"2019-12-31 00:00:00.000",8105.827,1057.654,0.130480702339194,18370.723,17565.323,1.04585170452032
1743,"2019-12-31 00:00:00.000",829.253,185.391,0.223563858074676,1651.207,1539.231,1.07274801508026
1745,"2019-12-31 00:00:00.000",4340.764,562.291,0.129537334902335,11205.633,10401.596,1.07729938751707
1773,"2019-12-31 00:00:00.000",5106,888.580000000002,0.174026635330984,16400.796,17784.445,0.922198921585689
1783,"2019-11-30 00:00:00.000",11.794,-0.851000000000001,-0.0721553332202816,19.347,21.325,0.907245017584994
1790,"2019-12-31 00:00:00.000",NA,1.4,NA,30.701,29.869,1.02785496668787
1794,"2019-09-30 00:00:00.000",3835,397,0.103520208604954,7251,8252,0.878696073679108
1820,"2019-01-31 00:00:00.000",69.815,13.996,0.200472677791306,118.983,122.313,0.972774766378063
1823,"2019-12-31 00:00:00.000",392.779,75.3149999999999,0.191749049720071,782.716,774.64,1.0104254879686
1828,"2019-12-31 00:00:00.000",5319,1482,0.278623801466441,21703,23344,0.92970356408499
1837,"2019-12-31 00:00:00.000",10725,1140,0.106293706293706,21687,21448,1.01114323013801
1864,"2019-01-31 00:00:00.000",397.122,34.492,0.0868549211577299,471.393,478.864,0.984398493100337
1878,"2019-01-31 00:00:00.000",NA,125.7,NA,4729.2,4113.6,1.14964994165694
1891,"2019-06-30 00:00:00.000",6059.8,3359.9,0.554457242813294,41887.7,37088.7,1.12939251038726
1913,"2019-12-31 00:00:00.000",1242.5,917.200000000001,0.738189134808854,5488.8,5177.5,1.06012554321584
1919,"2019-06-30 00:00:00.000",4140.473,657.418999999999,0.158778719242946,8564.556,9596.845,0.892434544894703
1920,"2018-12-31 00:00:00.000",NA,214.499999999999,NA,3010,3697.9,0.813975499607886
1926,"2019-02-28 00:00:00.000",640.351,113.531,0.177294952299598,1088.57,1028.209,1.05870499091138
1932,"2019-12-31 00:00:00.000",107212.829,12620.208,0.117711733919455,186747.022,186512.879,1.00125537175371
1949,"2019-12-31 00:00:00.000",199.653,-7.268,-0.0364031594817008,390.61,NA,NA
1968,"2019-12-31 00:00:00.000",331.944,83.764,0.252343768828477,421.893,392.691,1.07436381276882
1979,"2019-12-31 00:00:00.000",800.098,142.592,0.178218168274386,1155.682,981.355,1.17763908065889
1982,"2019-12-31 00:00:00.000",364.316,13.081,0.0359056423544394,1634.36,1490.131,1.09678947689834
1988,"2019-12-31 00:00:00.000",3510,1537,0.437891737891738,17360,16554,1.04868913857678
2002,"2019-12-31 00:00:00.000",5966.619,1524.619,0.255524778773372,52115.324,47604.577,1.09475448127603
2005,"2019-12-31 00:00:00.000",1286.832,385.852,0.299846444601937,18095.496,17143.974,1.05550183405551
2019,"2019-12-31 00:00:00.000",37941,9045,0.238396457657943,381508,362873,1.05135405499996
2049,"2019-12-31 00:00:00.000",1358.936,322.035,0.236975839921821,2738.335,2808.97,0.974853772023197
2052,"2019-09-30 00:00:00.000",1.397,-8.804,-6.30207587687903,18.302,31.378,0.583274905985085
2055,"2019-12-31 00:00:00.000",24523,5322,0.217020756024956,44392,22631,1.9615571561133
