"Statistic","MKT_R","SMB","HML","RMW","CMA"
"Arithmetic Mean (%)",0.497091503267974,0.251408285578655,0.332641995847457,0.301436739809884,0.355269614143741
"Standard Deviation (%)",4.50330135726703,2.98432214916951,3.51081841749497,3.19795426448215,2.43616403082475
"t-statistic",2.73074432862041,2.08405701150871,2.3439288302024,2.33184482620342,3.60767368572756
