"","op_1","op_2","op_3","op_4","op_5"
"SIZE_1","2.122232","3.846812","3.939335","3.584271","3.075488"
"SIZE_2","1.829635","3.681665","3.891372","3.731596","3.765089"
"SIZE_3","2.091798","3.331954","3.875518","3.289734","3.583850"
"SIZE_4","2.224464","3.322475","3.413039","3.575359","3.561002"
"SIZE_5","1.394592","2.132512","2.565644","2.576813","3.178474"
