"","mom_1","mom_2","mom_3","mom_4","mom_5"
"SIZE_1","0.3755325","0.8745791","1.2424081","0.4022772","0.8292613"
"SIZE_2","1.0876765","0.4375304","0.7275197","1.0297209","0.4799138"
"SIZE_3","0.7160773","0.9192455","0.5030372","0.5168639","0.7711367"
"SIZE_4","0.3755325","0.8745791","1.2424081","0.4022772","0.8292613"
"SIZE_5","1.0876765","0.4375304","0.7275197","1.0297209","0.4799138"
