"YYYYMM","f11","f12","f13","f14","f15","f21","f22","f23","f24","f25","f31","f32","f33","f34","f35","f41","f42","f43","f44","f45","f51","f52","f53","f54","f55"
"1962-07-01"," 0.0677882793"," 0.0497698450"," 0.05539685732"," 0.052868919394"," 0.0698267692"," 0.0415226533"," 0.02833201719"," 0.03984641813"," 0.063817787332"," 0.08042443847"," 0.0518667270"," 0.0307036850"," 0.0670047887"," 0.0563772548"," 0.0630232047"," 0.04821539331"," 0.04501537554"," 0.07300594946"," 0.051538843157"," 0.0730738070"," 0.04091276705"," 0.0458375507"," 0.05681390214"," 0.07539014381"," 0.0931502362"
"1962-08-01"," 0.0279124920"," 0.0185636519"," 0.01186077896"," 0.009576823861"," 0.0574430466"," 0.0291708520"," 0.04021204368"," 0.02403103536"," 0.020316067852"," 0.03873008800"," 0.0309950129"," 0.0110184251"," 0.0274527002"," 0.0285554498"," 0.0508955323"," 0.02504805558"," 0.04086827970"," 0.01279405406"," 0.013692832938"," 0.0174203294"," 0.02859595550"," 0.0270250455"," 0.02254791962"," 0.00995875764"," 0.0248189533"
"1962-09-01","-0.0748001997","-0.0468689591","-0.06321893744","-0.055446667613","-0.0710442779","-0.0691959389","-0.07432363857","-0.05083607659","-0.068395061586","-0.09418011670","-0.0576467679","-0.0499154674","-0.0544745715","-0.0441038015","-0.0597469572","-0.06326857421","-0.04810501061","-0.05476750303","-0.050303328441","-0.0561903037","-0.06667172239","-0.0316782696","-0.03376482905","-0.05300871401","-0.0738318851"
"1962-10-01","-0.0327027364","-0.0230673090","-0.03305387260","-0.039589984202","-0.0291357296","-0.0235070251","-0.01508276258","-0.01374517364","-0.015201516059","-0.05149633595","-0.0025047729","-0.0325526950","-0.0038759025","-0.0256464433","-0.0037840460","-0.00311282666"," 0.00456964770","-0.00569574719","-0.009833429587","-0.0175711576"," 0.01576079169"," 0.0081829022"," 0.01967163994"," 0.00537177527","-0.0181859390"
"1962-11-01"," 0.1443623731"," 0.1252818176"," 0.11486225370"," 0.123335064315"," 0.1310413714"," 0.1323612407"," 0.12159556069"," 0.10965288298"," 0.142391283813"," 0.16235466509"," 0.1228854512"," 0.1075446580"," 0.1166127161"," 0.1121351415"," 0.1414554375"," 0.13770480947"," 0.11659558270"," 0.12618266460"," 0.135963800964"," 0.1376809625"," 0.09983276416"," 0.0916108373"," 0.09792903434"," 0.09588420315"," 0.1367001585"
"1962-12-01","-0.0192032122","-0.0186162662","-0.01661012618","-0.002006505069","-0.0124633128","-0.0106864667","-0.01296892946","-0.00267219169"," 0.001087711181","-0.04193375965","-0.0093955926"," 0.0022539522","-0.0036610339"," 0.0228321188","-0.0087424119","-0.02296005468"," 0.00809481898"," 0.01637504392"," 0.014713904286"," 0.0177460696"," 0.00378797521"," 0.0131605804"," 0.03002321693"," 0.01802344000","-0.0026678158"
"1963-01-01"," 0.1021608917"," 0.0525218997"," 0.11352549319"," 0.073818455289"," 0.0961915835"," 0.0794438286"," 0.07914532822"," 0.08829101318"," 0.081778053536"," 0.06987740466"," 0.0828368858"," 0.0569157153"," 0.0858825993"," 0.0624785635"," 0.0457703968"," 0.06812888604"," 0.06392119272"," 0.04297453747"," 0.046734891861"," 0.0372567728"," 0.06163256759"," 0.0610750331"," 0.03177246268"," 0.04649958683"," 0.0430010033"
"1963-02-01","-0.0107917911","-0.0119203763","-0.01084135562","-0.028279326693","-0.0003169388","-0.0140289222","-0.03606511268","-0.00033092666","-0.030419890954","-0.04178411246","-0.0025976831","-0.0171878870","-0.0250358196","-0.0117236952","-0.0408469489","-0.01165568397","-0.01223609597","-0.02235735119","-0.023458677629","-0.0178665747","-0.01820689016","-0.0330018422","-0.02563567321","-0.02284503603","-0.0338375421"
"1963-03-01"," 0.0303833235"," 0.0270289091"," 0.01182544587"," 0.012098709331"," 0.0398746902"," 0.0220018207"," 0.01322464898"," 0.00871126768"," 0.017460369935"," 0.00231309437"," 0.0133387043"," 0.0153975838"," 0.0177807183"," 0.0149796266"," 0.0095833226"," 0.01918410098"," 0.03818345650"," 0.02071307063"," 0.038186153478"," 0.0057622127"," 0.00411173969"," 0.0411662571"," 0.04136724792"," 0.02669860039"," 0.0468015600"
"1963-04-01"," 0.0329795163"," 0.0394592065"," 0.02652181655"," 0.027640217842"," 0.0193881599"," 0.0461291694"," 0.03195091372"," 0.00485651098"," 0.015033348216"," 0.05112301670"," 0.0514468019"," 0.0500149963"," 0.0191938815"," 0.0295101629"," 0.0493349683"," 0.06293830375"," 0.03929021683"," 0.02581914450"," 0.055077330045"," 0.0460464824"," 0.04064384516"," 0.0513858030"," 0.04553244295"," 0.03200283519"," 0.0620299272"
