"","bm_1","bm_2","bm_3","bm_4","bm_5"
"SIZE_1","0.3138761","0.7279970","0.7821633","0.9662655","1.1459477"
"SIZE_2","0.5248463","0.7851407","0.9099783","0.9254322","1.0081520"
"SIZE_3","0.5428059","0.7634623","0.7806707","0.8948660","1.0871345"
"SIZE_4","0.6641350","0.6593325","0.7822480","0.8268615","0.9485007"
"SIZE_5","0.6119815","0.5968045","0.5405757","0.6064854","0.6963252"
