"Statistic","MKT_R","SMB","HML","RMW","CMA","MOM"
"Arithmetic Mean (%)",0.498646864686469,0.278796986585091,0.403914280230079,0.251184650592322,0.382183788650269,0.700170893639055
"Standard Deviation (%)",4.4869182286723,3.0501061337296,3.00553502407206,2.30543570369688,2.09494142947079,4.25436908374156
"t-statistic",2.73578050155633,2.25013945974439,3.30829117614517,2.68210882044089,4.49093415919975,4.05140072148473
