"","mom_1","mom_2","mom_3","mom_4","mom_5"
"VOL_1","0.4301586","0.9490440","1.2556576","0.3289071","0.7664012"
"VOL_2","1.1231116","0.2547256","0.7024356","1.0063673","0.3784016"
"VOL_3","0.6353303","0.8823714","0.2920715","0.4528441","0.8652164"
"VOL_4","0.4301586","0.9490440","1.2556576","0.3289071","0.7664012"
"VOL_5","1.1231116","0.2547256","0.7024356","1.0063673","0.3784016"
