"YYYYMM","f11","f12","f13","f14","f15","f21","f22","f23","f24","f25","f31","f32","f33","f34","f35","f41","f42","f43","f44","f45","f51","f52","f53","f54","f55"
"1963-01-01"," 0.10427984615"," 0.07174096008"," 0.0821392391"," 0.0821833001"," 0.1006764007"," 0.0991448806"," 0.0637462503"," 0.096119103545"," 0.05337816936"," 0.0494060419"," 0.0862327582"," 0.06078654899"," 0.0681240282"," 0.0791740738"," 0.06348997133"," 0.0785265210"," 0.0633541016"," 0.04147806449"," 0.07213891321"," 0.0502743058"," 0.0611860594"," 0.07197155067"," 0.04501524602"," 0.04318843295"," 0.02443345064"
"1963-02-01"," 0.01457712522","-0.02574866768","-0.0027328124","-0.0139269114","-0.0088318748","-0.0230720510","-0.0278667809","-0.024347230047","-0.02798389151","-0.0363437243"," 0.0045905477","-0.01403779381","-0.0151419012","-0.0085544011","-0.03085184013","-0.0106626102","-0.0275379151","-0.01100870039","-0.02739067308","-0.0456289122","-0.0251103586","-0.00120615302","-0.00530616745","-0.03657802566","-0.04091665738"
"1963-03-01"," 0.01533903774"," 0.01272958297"," 0.0173133694"," 0.0092438133"," 0.0155669014"," 0.0197238681"," 0.0206459361"," 0.011633111899"," 0.01445412018"," 0.0143012493"," 0.0440707343"," 0.02955119430"," 0.0165864809"," 0.0296469038"," 0.01204939455"," 0.0072659265"," 0.0360420097"," 0.03381990056"," 0.02106921880"," 0.0036597053"," 0.0043235409"," 0.03153188069"," 0.04113388376"," 0.02868678551"," 0.03374562165"
"1963-04-01"," 0.02448512641"," 0.02331172021"," 0.0291788241"," 0.0266566808"," 0.0437862454"," 0.0400878707"," 0.0317461914"," 0.013813009282"," 0.01733124500"," 0.0357192346"," 0.0496997112"," 0.03968019193"," 0.0230137211"," 0.0353510931"," 0.03842891946"," 0.0633709422"," 0.0560750775"," 0.03905449511"," 0.02788399035"," 0.0565340357"," 0.0544462653"," 0.07290441849","-0.00441337937"," 0.05388033961"," 0.05836220812"
"1963-05-01"," 0.03024431579"," 0.01625436294"," 0.0419903947"," 0.0191626895","-0.0157725191"," 0.0416686191"," 0.0183614854"," 0.026496298366"," 0.00530422998"," 0.0371511902"," 0.0191361742"," 0.03506861633"," 0.0121293776"," 0.0442343698","-0.00652782709"," 0.0301424189"," 0.0342655626"," 0.03054830086"," 0.02378939082"," 0.0138712154"," 0.0358197372"," 0.09128817689"," 0.04111790544"," 0.01429618838"," 0.05339673930"
"1963-06-01","-0.02559967936"," 0.00284920316","-0.0205813084"," 0.0087644456","-0.0193193631","-0.0321118816","-0.0284390104","-0.016461998564"," 0.00863328239","-0.0213007951","-0.0150047395","-0.01595715097","-0.0145965940","-0.0057707912","-0.01037728275","-0.0099170163","-0.0358933604","-0.01205095704","-0.02745700695","-0.0333660374","-0.0359902567","-0.02502141255","-0.01345822361","-0.03295300398","-0.02505342150"
"1963-07-01","-0.01468823173","-0.01201520227","-0.0021764995"," 0.0032966520"," 0.0267282794","-0.0284944600","-0.0134691601","-0.001227138363","-0.00632847024","-0.0021687949","-0.0272560833","-0.00796307281","-0.0067154322","-0.0068732661","-0.01188926911","-0.0102807885","-0.0070480612","-0.01016076880","-0.00093061623","-0.0362940244","-0.0089354824","-0.01569391826"," 0.00318283454","-0.01881810177"," 0.01132788522"
"1963-08-01"," 0.04644096295"," 0.02392713203"," 0.0094243173"," 0.0225728338"," 0.0436086435"," 0.0375688070"," 0.0434048127"," 0.029003349038"," 0.05432627933"," 0.0453114236"," 0.0485328457"," 0.05524719795"," 0.0393064441"," 0.0324832452"," 0.07416182362"," 0.0753313250"," 0.0408685161"," 0.05750863956"," 0.05676337911"," 0.0677860146"," 0.0873175154"," 0.06041513755"," 0.07435986595"," 0.09729966534"," 0.13225692389"
"1963-09-01","-0.00194688829","-0.01143762751","-0.0172764893"," 0.0074400205","-0.0021266284","-0.0282529715","-0.0072258969","-0.021029515440","-0.00781018340","-0.0460141739","-0.0259028941","-0.02026068467","-0.0113946225","-0.0250896975","-0.03693386828","-0.0304648491","-0.0158535345","-0.02955938179","-0.04464167098","-0.0279278581","-0.0231903534","-0.01603615857","-0.03742692118"," 0.00544689811"," 0.00314119386"
"1963-10-01","-0.01077553457"," 0.00462154324","-0.0155479555","-0.0077935655"," 0.0293344161"," 0.0205241145","-0.0044831825"," 0.011871890293"," 0.02968046968","-0.0106603089"," 0.0254266100","-0.00761508476"," 0.0030175919"," 0.0090320940"," 0.00772284030"," 0.0320120350"," 0.0278310702"," 0.01424222393","-0.00275494689"," 0.0030399414"," 0.0340397221"," 0.01534250570","-0.00605579543"," 0.06874729012"," 0.05109307148"
