"","bm_1","bm_2","bm_3","bm_4","bm_5"
"SIZE_1","0.8648101","2.710365","3.362939","4.379956","4.656883"
"SIZE_2","1.9014232","3.398328","4.260208","4.371923","4.019860"
"SIZE_3","2.0617972","3.491291","3.896228","4.431279","4.713962"
"SIZE_4","2.8786126","3.195311","3.957441","4.171603","4.165504"
"SIZE_5","3.2340111","3.480119","3.053845","3.278781","3.421381"
