"","MKT_R","SMB","HML","RMW","CMA","MOM"
"MKT_R",1,0.294881006555842,-0.304796041258286,-0.23141177812325,-0.391932799305158,-0.130981954754448
"SMB",0.294881006555842,1,-0.108315565424664,-0.307341274168833,-0.134532574357937,-0.128165913155834
"HML",-0.304796041258286,-0.108315565424664,1,0.139941082404411,0.741105021515379,-0.0882659169412813
"RMW",-0.23141177812325,-0.307341274168833,0.139941082404411,1,0.0596515783337464,0.280206405195221
"CMA",-0.391932799305158,-0.134532574357937,0.741105021515379,0.0596515783337464,1,0.0273371379245117
"MOM",-0.130981954754448,-0.128165913155834,-0.0882659169412813,0.280206405195221,0.0273371379245117,1
