"","MKT_R","SMB","HML","RMW","CMA"
"MKT_R",1,0.00636391726572295,-0.230273418893227,-0.251760666761193,-0.29954895214184
"SMB",0.00636391726572295,1,0.109309749294093,-0.335812936895035,0.231285027645266
"HML",-0.230273418893227,0.109309749294093,1,0.204623813316918,0.595895479165104
"RMW",-0.251760666761193,-0.335812936895035,0.204623813316918,1,-0.0816085739881313
"CMA",-0.29954895214184,0.231285027645266,0.595895479165104,-0.0816085739881313,1
