"","inv_1","inv_2","inv_3","inv_4","inv_5"
"SIZE_1","1.0704427","1.0168160","1.0187658","0.8666870","0.3020283"
"SIZE_2","0.8878802","0.9565644","0.9332608","0.9505579","0.4504491"
"SIZE_3","0.9429009","0.9295490","0.8671687","0.8196805","0.4228764"
"SIZE_4","0.8088099","0.7791454","0.7593439","0.7223745","0.5300058"
"SIZE_5","0.7281291","0.5675211","0.5020445","0.4956616","0.3876092"
