"","SMB_bm","SMB_op","SMB_inv","SMB","MOM"
"SMB_bm",1,0.874163322618804,0.947195317763052,0.962462329727552,-0.143260422701463
"SMB_op",0.874163322618804,1,0.950681789750856,0.968971775247811,-0.111154707449786
"SMB_inv",0.947195317763052,0.950681789750856,1,0.99142758406314,-0.172518895708872
"SMB",0.962462329727552,0.968971775247811,0.99142758406314,1,-0.14543154201287
"MOM",-0.143260422701463,-0.111154707449786,-0.172518895708872,-0.14543154201287,1
