"","SMB_bm","SMB_op","SMB_inv","SMB"
"SMB_bm",1,0.951149940088498,0.973832516736349,0.986843777315481
"SMB_op",0.951149940088498,1,0.96705090886841,0.984570675856346
"SMB_inv",0.973832516736349,0.96705090886841,1,0.992377035987405
"SMB",0.986843777315481,0.984570675856346,0.992377035987405,1
