"","volm_1","volm_2","volm_3","volm_4","volm_5"
"SIZE_1","0.4996355","0.8464231","1.1317441","0.5366744","0.8010971"
"SIZE_2","1.0686713","0.5027047","0.7833322","0.9244601","0.5996718"
"SIZE_3","0.6988960","0.8386822","0.3695530","0.5712940","0.6121738"
"SIZE_4","0.4996355","0.8464231","1.1317441","0.5366744","0.8010971"
"SIZE_5","1.0686713","0.5027047","0.7833322","0.9244601","0.5996718"
