"","inv_1","inv_2","inv_3","inv_4","inv_5"
"VOL_1","3.741436","4.752443","4.518732","4.279934","1.385540"
"VOL_2","3.010001","4.352337","4.536600","4.087457","1.595956"
"VOL_3","3.240380","4.055018","4.213042","4.118840","1.432494"
"VOL_4","3.833111","4.500339","4.150646","3.347902","1.687821"
"VOL_5","3.671063","3.510239","3.463221","3.374184","1.755743"
