"","mom_1","mom_2","mom_3","mom_4","mom_5"
"VOL_1","1.415815","4.6251462","5.335897","1.085266","3.716078"
"VOL_2","4.821914","0.8660172","3.526215","4.434202","1.295583"
"VOL_3","3.264549","3.9765626","1.050263","2.378264","3.760193"
"VOL_4","1.415815","4.6251462","5.335897","1.085266","3.716078"
"VOL_5","4.821914","0.8660172","3.526215","4.434202","1.295583"
