"YYYYMM","f11","f12","f13","f14","f15","f21","f22","f23","f24","f25","f31","f32","f33","f34","f35","f41","f42","f43","f44","f45","f51","f52","f53","f54","f55"
"1963-01-01"," 0.08184291505"," 0.0963868830"," 0.08672343889"," 0.04821811352"," 0.1108483901"," 0.08335534286"," 0.0752266626"," 0.0943321594"," 0.0641301236"," 0.0811725737"," 0.07299454173"," 0.0438828713"," 0.0631623415"," 0.05316386249"," 0.06996506348"," 0.09103840827"," 0.04266006999"," 0.0552295137"," 0.04593708033"," 0.057225906126"," 0.05953196565"," 0.0373025996"," 0.0380479904"," 0.04338324164"," 0.0608805890"
"1963-02-01","-0.01638316336","-0.0090712038","-0.03812193413"," 0.02688905541","-0.0196309662","-0.02074634514","-0.0344068358","-0.0196153240","-0.0125410832","-0.0267554626","-0.01645257069","-0.0298805527","-0.0288966953","-0.02032867632","-0.01379355569","-0.00726300112","-0.01717647817","-0.0128876950","-0.03086171052","-0.010114346788","-0.02821855692","-0.0171549945","-0.0205081966","-0.03272727032","-0.0392533917"
"1963-03-01"," 0.02780838065"," 0.0295233909"," 0.00018637238","-0.00164439098"," 0.0513614093"," 0.02267562287"," 0.0098343964","-0.0028088376"," 0.0357417125","-0.0036749692","-0.00103388811"," 0.0176891826"," 0.0362766626"," 0.01457046516"," 0.01364914812"," 0.04008068727"," 0.03487801526"," 0.0218131196"," 0.03219234909"," 0.014696110659"," 0.06275098789"," 0.0359961565"," 0.0233139077"," 0.02915079636"," 0.0444387430"
"1963-04-01"," 0.02895322523"," 0.0328099098"," 0.04669690907","-0.01323888751"," 0.0393176218"," 0.03476941391"," 0.0366111236"," 0.0251932034"," 0.0260238988"," 0.0246902975"," 0.03754721978"," 0.0577482790"," 0.0298682012"," 0.03083100453"," 0.04250726041"," 0.06756410705"," 0.03391973730"," 0.0392059481"," 0.02330501988"," 0.051885362824"," 0.04167167318"," 0.0440989952"," 0.0382820179"," 0.04408245651"," 0.0515285873"
"1963-05-01"," 0.05204710161"," 0.0272201649"," 0.04463995010"," 0.06101493198"," 0.0031480069"," 0.03710149948"," 0.0297017543"," 0.0151738364"," 0.0212252282"," 0.0172360336"," 0.03779349890"," 0.0329508560"," 0.0215212837"," 0.02732016460","-0.00766546157"," 0.07726477216"," 0.00992296680"," 0.0226800323"," 0.01577948077"," 0.015971639067","-0.01195654576"," 0.0011093554"," 0.0166127964"," 0.01700099544"," 0.0349960450"
"1963-06-01","-0.01808638529","-0.0311979494"," 0.01767169437","-0.03841399534"," 0.0004906488","-0.02847896017","-0.0260436822","-0.0075565459","-0.0291037810","-0.0012919785","-0.01763776378","-0.0161258019","-0.0100113597","-0.03429623835","-0.01342616586","-0.04217853207","-0.00961012203","-0.0170650440","-0.01497212505","-0.011832203686","-0.00282007031","-0.0109105390","-0.0136093266","-0.02875999211","-0.0427747282"
"1963-07-01","-0.02158130667","-0.0087256471"," 0.00737168821","-0.00390323070","-0.0009403529","-0.00575294343","-0.0444156878"," 0.0082408858","-0.0309612108","-0.0021026560","-0.02094083697","-0.0182116452","-0.0240437392","-0.01809345734","-0.01823822961","-0.00864895407","-0.00904181111","-0.0025523746","-0.01064294283","-0.012667973440","-0.00212611214"," 0.0085278613"," 0.0007770656","-0.01409376583"," 0.0053192798"
"1963-08-01"," 0.05179599817"," 0.0364514426"," 0.01817805878"," 0.01812672212"," 0.0368928079"," 0.06608529832"," 0.0526886263"," 0.0444478645"," 0.0360286729"," 0.0648332822"," 0.05573029422"," 0.0491103137"," 0.0517008971"," 0.04284747883"," 0.06122067683"," 0.05406228061"," 0.06137535160"," 0.0424330364"," 0.04911869313"," 0.065801346483"," 0.05027489833"," 0.0474299326"," 0.0472592454"," 0.05264575102"," 0.0573444426"
"1963-09-01","-0.00505942195","-0.0243612024","-0.00347747269"," 0.01474071567","-0.0259411274","-0.00489244508","-0.0145570640","-0.0139064125","-0.0091412503","-0.0286854262","-0.02950143253","-0.0183112920","-0.0234742614","-0.03160041771","-0.03159272427","-0.02101457650","-0.00858300859","-0.0135949174","-0.02303102810","-0.034653255327","-0.02324910269","-0.0129352799","-0.0030185536","-0.01836847353","-0.0132264799"
"1963-10-01"," 0.00164438273","-0.0006343242"," 0.02246554986"," 0.01327502858"," 0.0203559451"," 0.01681586010"," 0.0280744978"," 0.0013636941"," 0.0037515791"," 0.0285075043"," 0.01963298826"," 0.0144319044"," 0.0284314117"," 0.00155927243"," 0.01933648741"," 0.02022489797","-0.00018209056","-0.0076145006"," 0.00650283546"," 0.015933984180","-0.00059904375"," 0.0011351157"," 0.0222714348"," 0.03041628545"," 0.0762834867"
"1963-11-01","-0.00496054563","-0.0083185048"," 0.00140133059","-0.02443433635","-0.0103195889","-0.01311762070"," 0.0005572850","-0.0168283675","-0.0275689493","-0.0164582187","-0.00292914373","-0.0131127436","-0.0235654946","-0.00852138709","-0.01835590532"," 0.00923298969","-0.01957696265","-0.0003038741","-0.00610119862"," 0.004057538329","-0.02307911202","-0.0128427849"," 0.0140636933"," 0.00732291185","-0.0295614003"
"1963-12-01"," 0.00445591091","-0.0030276733"," 0.00767035717","-0.00359390004","-0.0037624392"," 0.00835992627"," 0.0090564242"," 0.0084686083"," 0.0084388141"," 0.0282502531"," 0.01431120255"," 0.0130316927"," 0.0068299378"," 0.00209262627","-0.00723998673"," 0.03048038393"," 0.00167363632"," 0.0237531052"," 0.00870840423","-0.011920379940"," 0.00304494838"," 0.0382844443"," 0.0138637324"," 0.03069940594"," 0.0192821027"
