"Statistic","MKT_R","SMB","HML","RMW","CMA"
"Arithmetic Mean (%)",0.498646864686469,0.278790127412674,0.403918186492638,0.251190203947284,0.382162381991911
"Standard Deviation (%)",4.4869182286723,3.0501029946291,3.00554739508819,2.30545507620698,2.09486934322148
"t-statistic",2.73578050155633,2.2500864158652,3.30830955343135,2.68214558026901,4.49083714381806
