"","mom_1","mom_2","mom_3","mom_4","mom_5"
"SIZE_1","0.3540901","0.8579160","1.2195550","0.3801639","0.8152551"
"SIZE_2","1.0753796","0.4161966","0.7079326","1.0098234","0.4533218"
"SIZE_3","0.6920136","0.8956595","0.4795252","0.4973454","0.7408621"
"SIZE_4","0.3540901","0.8579160","1.2195550","0.3801639","0.8152551"
"SIZE_5","1.0753796","0.4161966","0.7079326","1.0098234","0.4533218"
