"","op_1","op_2","op_3","op_4","op_5"
"SIZE_1","2.027427","4.084497","4.237317","3.803254","3.143688"
"SIZE_2","2.023297","3.845525","4.175942","3.819265","3.875730"
"SIZE_3","2.303320","3.476968","3.979402","3.663348","3.770397"
"SIZE_4","2.210911","3.602323","3.936751","3.926299","3.892248"
"SIZE_5","1.585246","2.612912","3.097522","3.218696","3.980892"
