"","inv_1","inv_2","inv_3","inv_4","inv_5"
"SIZE_1","0.9881373","0.9886215","0.9531157","0.8558768","0.3072382"
"SIZE_2","0.8691473","0.9120948","0.9345871","0.9528618","0.4771947"
"SIZE_3","0.8984420","0.9001607","0.8105074","0.8047488","0.4716531"
"SIZE_4","0.8023533","0.7824859","0.7790585","0.7324988","0.5451953"
"SIZE_5","0.7539389","0.5974112","0.5628501","0.5872281","0.4959958"
