"","inv_1","inv_2","inv_3","inv_4","inv_5"
"SIZE_1","3.552855","4.511865","4.405493","3.771835","1.104759"
"SIZE_2","3.491701","4.416051","4.532366","4.344376","1.758153"
"SIZE_3","3.960377","4.716650","4.292788","3.841731","1.852196"
"SIZE_4","3.890132","4.184652","4.279653","3.861668","2.230159"
"SIZE_5","4.310761","3.846613","3.504177","3.448102","2.343368"
